,Location,Latitude,Longitude
0,Eringate-Centennial-West Deane,43.6599082,-79.58331679999999
1,Etobicoke West Mall,43.6451146,-79.56877279999999
2,Markland Wood,43.6335688,-79.570763
3,Alderwood,43.63152609999999,-83.8917341
4,Long Branch,40.30427780000001,-73.9923596
5,Islington-City Centre West,43.6309156,-79.5434841
6,Princess-Rosethorn,43.6700497,-79.547744
7,Willowridge-Martingrove-Richview,43.6791167,-79.5702469
8,University,30.5491387,-87.21858619999999
9,Palmerston-Little Italy,43.6599648,-79.4174767
10,Dufferin Grove,43.6558326,-79.4281914
11,Roncesvalles,43.0169504,-1.3035514
12,High Park-Swansea,43.6535556,-79.4652576
13,Runnymede-Bloor West Village,43.6592804,-79.4838116
14,Annex,36.2237946,-94.1368859
15,Dovercourt-Wallace Emerson-Junction,43.6684011,-79.4405951
16,High Park North,43.6572262,-79.4668306
17,Junction Area,43.6655088,-79.4721328
18,Weston-Pellam Park,43.6716304,-79.4577314
19,Briar Hill-Belgravia,43.70371360000001,-79.4524023
20,Wychwood,45.385069,-75.839606
21,Casa Loma,43.6780371,-79.4094439
22,Trinity-Bellwoods,43.6500682,-79.41707319999999
23,Little Portugal,37.3540412,-121.8626655
24,South Parkdale,43.643832,-79.442534
25,Niagara,43.0828162,-79.07416289999999
26,Waterfront Communities-The Island,43.6416481,-79.3779212
27,South Riverdale,35.0563349,-89.828259
28,The Beaches,43.6673479,-79.29669299999999
29,New Toronto,43.6007776,-79.505257
30,Mimico (includes Humber Bay Shores),43.6279083,-79.4756618
31,Stonegate-Queensway,43.6305047,-79.4843454
32,Kingsway South,43.652674,-79.507194
33,Edenbridge-Humber Valley,43.667113,-79.527974
34,Kensington-Chinatown,43.6539432,-79.4004035
35,Bay Street Corridor,43.6567111,-79.38345799999999
36,Moss Park,28.4013818,-81.2077236
37,Church-Yonge Corridor,43.66072339999999,-79.3809699
38,Rosedale-Moore Park,43.6859587,-79.3769412
39,North St. James Town,43.6708666,-79.37330639999999
40,Regent Park,37.7092464,-97.21347300000001
41,Cabbagetown-South St. James Town,43.6584787,-79.3676753
42,North Riverdale,40.9090464,-73.90364869999999
43,Broadview North,43.6885292,-79.3532778
44,Blake Jones,35.7977778,-83.5661111
45,Greenwood-Coxwell,43.6720554,-79.3228164
46,Danforth,40.82031200000001,-87.977818
47,Woodbine Corridor,43.692177,-79.30993699999999
48,Lambton-Baby Point,43.65604219999999,-79.4942916
49,East End-Danforth,43.6781823,-79.309632
50,Woodbine-Lumsden,43.692177,-79.30993699999999
51,Danforth-East York,43.6861712,-79.31067399999999
52,Playter Estates-Danforth,43.6790323,-79.359228
53,Old East York,43.692042,-79.33775159999999
54,Yonge-St. Clair,43.6880978,-79.39411659999999
55,Oakwood Village,43.0596415,-89.4864817
56,Taylor-Massey,43.737705,-79.285308
57,Rockcliffe-Smythe,43.6769062,-79.4893716
58,Keelesdale-Eglinton West,43.6854647,-79.470432
59,Corso Italia-Davenport,43.67737049999999,-79.4461276
60,Yonge-Eglinton,43.70643099999999,-79.398642
61,Mount Pleasant West,43.7048511,-79.3944199
62,Mount Pleasant East,43.7050874,-79.3847503
63,Humewood-Cedarvale,43.694479,-79.428056
64,Forest Hill South,40.7155695,-73.8314244
65,Beechborough-Greenbrook,43.6943212,-79.47479469999999
66,Mount Dennis,43.6854767,-79.4887807
67,Weston,26.1003654,-80.3997748
68,Pelmo Park-Humberlea,43.721319,-79.5332169
69,Brookhaven-Amesbury,43.6969489,-79.49382899999999
70,Humber Heights-Westmount,43.6963578,-79.527033
71,Kingsview Village-The Westway,43.7005039,-79.5519144
72,Elms-Old Rexdale,43.7237117,-79.5488603
73,Rexdale-Kipling,43.7194288,-79.57039069999999
74,Mount Olive-Silverstone-Jamestown,43.7411486,-79.5892382
75,Thistletown-Beaumond Heights,43.7429033,-79.5712672
76,Humbermede,43.7389945,-79.5394081
77,Humber Summit,43.7601003,-79.5717846
78,Rustic,37.0352891,-95.6168799
79,Maple Leaf,47.6958402,-122.3175976
80,Downsview-Roding-CFB,43.7266992,-79.4820609
81,Glenfield-Jane Heights,43.7572667,-79.5176918
82,Black Creek,44.4774856,-88.45065679999999
83,Yorkdale-Glen Park,43.7069987,-79.4532114
84,Forest Hill North,43.7052493,-79.4263764
85,Englemount-Lawrence,43.71805260000001,-79.43510859999999
86,Clanton Park,35.1964736,-80.88848469999999
87,York University Heights,43.7664492,-79.4774456
88,Bathurst Manor,43.7628188,-79.4568978
89,Bedford Park-Nortown,43.7303267,-79.411427
90,Westminster-Branson,43.7855803,-79.451092
91,Lawrence Park South,43.7121368,-79.4116873
92,Lansing-Westgate,43.7589653,-79.4225602
93,Willowdale West,43.7711708,-79.4197497
94,Newtonbrook West,43.7870678,-79.41731539999999
95,Newtonbrook East,43.7870678,-79.41731539999999
96,Willowdale East,43.7711708,-79.4197497
97,Lawrence Park North,43.7237857,-79.38865
98,Bridle Path-Sunnybrook-York Mills,43.7359137,-79.3718986
99,St. Andrew-Windfields,43.7548135,-79.38553399999999
100,Banbury-Don Mills,43.7491424,-79.36635
101,Leaside-Bennington,43.7131145,-79.3671322
102,Thorncliffe Park,43.7074843,-79.34359669999999
103,Parkwoods-Donalda,43.7527765,-79.32643999999999
104,Flemingdon Park,43.7183725,-79.3313903
105,O'Connor-Parkview,43.7060765,-79.3102072
106,Clairlea-Birchmount,43.7162053,-79.28284239999999
107,Victoria Village,29.6967924,-95.189015
108,Bayview Village,43.778243,-79.3827578
109,Bayview Woods-Steeles,43.7948077,-79.3825152
110,Hillcrest Village,32.9627827,-96.78953399999999
111,Don Valley Village,43.787359,-79.353003
112,Henry Farm,43.76958339999999,-79.3465239
113,Wexford-Maryvale,43.7612714,-79.30075430000001
114,Pleasant View,43.0878257,-89.5430145
115,L'Amoreaux,43.7967612,-79.3157737
116,Steeles,42.0743515,-86.5042737
117,Tam O'Shanter-Sullivan,43.7810585,-79.2981138
118,Dorset Park,43.7658308,-79.281111
119,Agincourt South-Malvern West,43.7899638,-79.24229559999999
120,Oakridge,36.8970141,-96.1130438
121,Ionview,43.730824,-79.2739
122,Kennedy Park,42.584755,-94.1897788
123,Cliffcrest,43.724917,-79.22632899999999
124,Eglinton East,43.7371449,-79.24622839999999
125,Scarborough Village,43.7387924,-79.2170993
126,Bendale,43.765434,-79.248935
127,Agincourt North,43.8080532,-79.2665016
128,Milliken,34.9889226,-81.9569763
129,Woburn,42.4792618,-71.1522765
130,Malvern,40.0362184,-75.5138118
131,Guildwood,43.752743,-79.19277699999999
132,Morningside,35.6482199,-88.816358
133,Highland Creek,35.3780263,-80.7604628
134,West Hill,39.042812,-94.600253
135,Centennial Scarborough,43.7816836,-79.1483269
136,Caledonia-Fairbank,43.6899015,-79.4551573
137,Birchcliffe-Cliffside,43.7089181,-79.2485069
138,Rouge,42.5196827,-70.8932013
139,West Humber-Clairville,43.7356492,-79.6258435
