Location,Coordinates
Eringate-Centennial-West Deane,"46,219,13"
Etobicoke West Mall,"53,244,10"
Markland Wood,"41,261,11"
Alderwood,"66,315,13"
Long Branch,"67,341,13"
Islington-City Centre West,"80,272,20"
Princess-Rosethorn,"91,218,11"
Willowridge-Martingrove-Richview,"86,192,13"
University,"245,267,263,279"
Palmerston-Little Italy,"222,266,244,283"
Dufferin Grove,"196,264,219,279"
Roncesvalles,"187,284,204,298"
High Park-Swansea,"148,269,185,289"
Runnymede-Bloor West Village,"150,239,162,266"
Annex,"244,252,265,266"
Dovercourt-Wallace Emerson-Junction,"194,251,232,267"
High Park North,"163,254,188,267"
Junction Area,"163,231,185,249"
Weston-Pellam Park,"185,223,198,247"
Briar Hill-Belgravia,"205,192,226,204"
Wychwood,"224,235,243,250"
Casa Loma,"243,235,264,247"
Trinity-Bellwoods,"220,283,243,299"
Little Portugal,"206,280,219,297"
South Parkdale,"193,300,213,315"
Niagara,"219,302,241,321"
Waterfront Communities-The Island,"230,331,252,322,252,307,299,309,291,325,297,344,276,365,243,368,229,347"
South Riverdale,"308,291,312,313,298,322,303,349,289,362,305,376,335,369,354,322,345,307,335,310,332,298,336,288,323,290"
The Beaches,"363,287,389,302"
New Toronto,"99,334,12"
Mimico (includes Humber Bay Shores),"121,312,11"
Stonegate-Queensway,"124,280,16"
Kingsway South,"110,242,130,259"
Edenbridge-Humber Valley,"117,219,11"
Kensington-Chinatown,"246,283,261,295"
Bay Street Corridor,"262,278,273,303"
Moss Park,"279,289,294,303"
Church-Yonge Corridor,"274,267,282,287"
Rosedale-Moore Park,"279,240,297,257"
North St. James Town,"280,265,292,276"
Regent Park,"293,286,307,297"
Cabbagetown-South St. James Town,"292,271,305,283"
North Riverdale,"305,269,324,283"
Broadview North,"311,240,326,253"
Blake Jones,"324,267,343,280"
Greenwood-Coxwell,"342,274,354,294"
Danforth,"332,261,363,268"
Woodbine Corridor,"354,271,364,296"
Lambton-Baby Point,"134,236,150,267"
East End-Danforth,"371,268,391,281"
Woodbine-Lumsden,"366,249,380,262"
Danforth-East York,"331,250,362,260"
Playter Estates-Danforth,"301,258,324,268"
Old East York,"333,235,356,249"
Yonge-St. Clair,"264,225,276,249"
Oakwood Village,"214,213,230,227"
Taylor-Massey,"384,253,399,265"
Rockcliffe-Smythe,"138,213,169,232"
Keelesdale-Eglinton West,"175,205,195,219"
Corso Italia-Davenport,"199,227,218,240"
Yonge-Eglinton,"263,198,277,213"
Mount Pleasant West,"277,200,291,223"
Mount Pleasant East,"291,202,302,226"
Humewood-Cedarvale,"229,211,246,230"
Forest Hill South,"247,210,261,225"
Beechborough-Greenbrook,"169,193,190,205"
Mount Dennis,"144,192,162,207"
Weston,"131,164,155,177"
Pelmo Park-Humberlea,"132,147,153,161"
Brookhaven-Amesbury,"167,177,186,190"
Humber Heights-Westmount,"129,184,9"
Kingsview Village-The Westway,"102,163,12"
Elms-Old Rexdale,"112,132,12"
Rexdale-Kipling,"93,120,9"
Mount Olive-Silverstone-Jamestown,"80,80,11"
Thistletown-Beaumond Heights,"100,98,11"
Humbermede,"134,96,12"
Humber Summit,"121,68,12"
Rustic,"165,162,9"
Maple Leaf,"189,163,9"
Downsview-Roding-CFB,"185,133,17"
Glenfield-Jane Heights,"162,104,11"
Black Creek,"165,69,11"
Yorkdale-Glen Park,"214,172,11"
Forest Hill North,"243,199,8"
Englemount-Lawrence,"238,170,11"
Clanton Park,"239,133,11"
York University Heights,"203,77,19"
Bathurst Manor,"238,97,13"
Bedford Park-Nortown,"259,158,11"
Westminster-Branson,"252,72,9"
Lawrence Park South,"275,184,10"
Lansing-Westgate,"272,121,9"
Willowdale West,"275,92,10"
Newtonbrook West,"278,68,9"
Newtonbrook East,"310,68,12"
Willowdale East,"305,101,12"
Lawrence Park North,"284,166,9"
Bridle Path-Sunnybrook-York Mills,"312,170,11"
St. Andrew-Windfields,"326,131,13"
Banbury-Don Mills,"349,174,15"
Leaside-Bennington,"312,221,10"
Thorncliffe Park,"334,221,10"
Parkwoods-Donalda,"380,154,13"
Flemingdon Park,"360,213,10"
O'Connor-Parkview,"377,233,13"
Clairlea-Birchmount,"417,230,12"
Victoria Village,"386,200,12"
Bayview Village,"336,102,13"
Bayview Woods-Steeles,"340,69,11"
Hillcrest Village,"375,68,12"
Don Valley Village,"367,100,9"
Henry Farm,"374,122,9"
Wexford-Maryvale,"412,172,15"
Pleasant View,"390,99,9"
L'Amoreaux,"419,93,12"
Steeles,"419,65,12"
Tam O'Shanter-Sullivan,"423,122,12"
Dorset Park,"441,162,10"
Agincourt South-Malvern West,"471,128,13"
Oakridge,"410,263,9"
Ionview,"439,201,12"
Kennedy Park,"446,225,11"
Cliffcrest,"475,236,15"
Eglinton East,"471,204,13"
Scarborough Village,"502,217,13"
Bendale,"467,169,11"
Agincourt North,"478,95,12"
Milliken,"475,63,11"
Woburn,"498,167,19"
Malvern,"527,112,18"
Guildwood,"533,211,14"
Morningside,"536,151,16"
Highland Creek,"574,150,11"
West Hill,"562,185,15"
Centennial Scarborough,"599,171,11"
Caledonia-Fairbank,"196,204,214,220"
Birchcliffe-Cliffside,"398,275,396,309,453,275,453,239,446,242,429,261,413,275"
Rouge,"509,52,506,92,539,90,551,107,551,134,585,139,602,150,611,148,615,190,644,165,617,118,614,48,510,52"
West Humber-Clairville,"15,50,31,201,55,192,100,149,101,139,87,139,85,101,79,105,70,106,67,54,18,51"
